,exp_name,task_number,task_trained_on,model,lambda,accuracy
naive_train0_eval0,test,0,0,naive,,91.5
foolish_train0_eval0,test,0,0,foolish,,90.5
EWC_train0_eval0,test,0,0,EWC,0.4,91.5
naive_train1_eval0,test,0,1,naive,,48.5
foolish_train1_eval0,test,0,1,foolish,,44.5
EWC_train1_eval0,test,0,1,EWC,0.4,43.0
naive_train2_eval0,test,0,2,naive,,42.0
foolish_train2_eval0,test,0,2,foolish,,33.0
EWC_train2_eval0,test,0,2,EWC,0.4,52.0
naive_train3_eval0,test,0,3,naive,,55.5
foolish_train3_eval0,test,0,3,foolish,,32.0
EWC_train3_eval0,test,0,3,EWC,0.4,36.5
naive_train4_eval0,test,0,4,naive,,39.5
foolish_train4_eval0,test,0,4,foolish,,35.5
EWC_train4_eval0,test,0,4,EWC,0.4,37.0
naive_train5_eval0,test,0,5,naive,,52.5
foolish_train5_eval0,test,0,5,foolish,,56.0
EWC_train5_eval0,test,0,5,EWC,0.4,51.0
naive_train6_eval0,test,0,6,naive,,41.5
foolish_train6_eval0,test,0,6,foolish,,45.5
EWC_train6_eval0,test,0,6,EWC,0.4,44.5
naive_train7_eval0,test,0,7,naive,,49.0
foolish_train7_eval0,test,0,7,foolish,,41.5
EWC_train7_eval0,test,0,7,EWC,0.4,33.0
naive_train8_eval0,test,0,8,naive,,64.5
foolish_train8_eval0,test,0,8,foolish,,69.0
EWC_train8_eval0,test,0,8,EWC,0.4,70.5
naive_train9_eval0,test,0,9,naive,,60.5
foolish_train9_eval0,test,0,9,foolish,,66.5
EWC_train9_eval0,test,0,9,EWC,0.4,65.0
naive_train1_eval1,test,1,1,naive,,94.0
foolish_train1_eval1,test,1,1,foolish,,91.5
EWC_train1_eval1,test,1,1,EWC,0.4,94.5
naive_train2_eval1,test,1,2,naive,,87.5
foolish_train2_eval1,test,1,2,foolish,,75.0
EWC_train2_eval1,test,1,2,EWC,0.4,70.5
naive_train3_eval1,test,1,3,naive,,46.5
foolish_train3_eval1,test,1,3,foolish,,44.0
EWC_train3_eval1,test,1,3,EWC,0.4,55.0
naive_train4_eval1,test,1,4,naive,,47.0
foolish_train4_eval1,test,1,4,foolish,,48.0
EWC_train4_eval1,test,1,4,EWC,0.4,42.0
naive_train5_eval1,test,1,5,naive,,47.5
foolish_train5_eval1,test,1,5,foolish,,50.0
