,exp_name,task_number,task_trained_on,model,lambda,accuracy
naive_train0_eval0,exp1,0,0,naive,,92.5
foolish_train0_eval0,exp1,0,0,foolish,,94.5
EWC_train0_eval0,exp1,0,0,EWC,0.4,92.5
naive_train1_eval0,exp1,0,1,naive,,39.0
foolish_train1_eval0,exp1,0,1,foolish,,37.5
EWC_train1_eval0,exp1,0,1,EWC,0.4,50.5
naive_train2_eval0,exp1,0,2,naive,,33.0
foolish_train2_eval0,exp1,0,2,foolish,,42.5
EWC_train2_eval0,exp1,0,2,EWC,0.4,39.5
naive_train3_eval0,exp1,0,3,naive,,46.5
foolish_train3_eval0,exp1,0,3,foolish,,39.5
EWC_train3_eval0,exp1,0,3,EWC,0.4,52.5
naive_train4_eval0,exp1,0,4,naive,,40.0
foolish_train4_eval0,exp1,0,4,foolish,,41.5
EWC_train4_eval0,exp1,0,4,EWC,0.4,34.0
naive_train5_eval0,exp1,0,5,naive,,61.5
foolish_train5_eval0,exp1,0,5,foolish,,56.5
EWC_train5_eval0,exp1,0,5,EWC,0.4,53.5
naive_train6_eval0,exp1,0,6,naive,,49.5
foolish_train6_eval0,exp1,0,6,foolish,,48.0
EWC_train6_eval0,exp1,0,6,EWC,0.4,35.0
naive_train7_eval0,exp1,0,7,naive,,44.0
foolish_train7_eval0,exp1,0,7,foolish,,36.0
EWC_train7_eval0,exp1,0,7,EWC,0.4,50.0
naive_train8_eval0,exp1,0,8,naive,,63.0
foolish_train8_eval0,exp1,0,8,foolish,,52.0
EWC_train8_eval0,exp1,0,8,EWC,0.4,69.5
naive_train9_eval0,exp1,0,9,naive,,63.5
foolish_train9_eval0,exp1,0,9,foolish,,57.0
EWC_train9_eval0,exp1,0,9,EWC,0.4,58.0
naive_train10_eval0,exp1,0,10,naive,,51.5
foolish_train10_eval0,exp1,0,10,foolish,,49.5
EWC_train10_eval0,exp1,0,10,EWC,0.4,52.5
naive_train11_eval0,exp1,0,11,naive,,48.0
foolish_train11_eval0,exp1,0,11,foolish,,51.0
EWC_train11_eval0,exp1,0,11,EWC,0.4,47.5
naive_train12_eval0,exp1,0,12,naive,,28.5
foolish_train12_eval0,exp1,0,12,foolish,,36.0
EWC_train12_eval0,exp1,0,12,EWC,0.4,29.5
naive_train13_eval0,exp1,0,13,naive,,25.5
foolish_train13_eval0,exp1,0,13,foolish,,38.0
